Sentence,Unique Drug,ChatGPT3.5_Extract,ChatGPT4_Extract
"ADL 8-2698, a trans-3,4-dimethyl-4-(3-hydroxyphenyl) piperidine, prevents gastrointestinal effects of intravenous morphine without affecting analgesia.",adl 8-2698,1,1
"ADL 8-2698, a trans-3,4-dimethyl-4-(3-hydroxyphenyl) piperidine, prevents gastrointestinal effects of intravenous morphine without affecting analgesia.",morphine,1,1
Administering InsP(3) together with RR (100-500 microM) inhibited InsP(3)-induced responses (both Ca(2+) and current responses) in a dose-dependent fashion.,rr,1,1
Administering InsP(3) together with RR (100-500 microM) inhibited InsP(3)-induced responses (both Ca(2+) and current responses) in a dose-dependent fashion.,insp(3),1,1
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,ibogaine,1,1
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,18-mc,1,1
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,nicotine,1,1
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,morphine,1,1
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,cypermethrin,1,1
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,vitamin e,1,1
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,allopurinol,1,1
"Cytochalasin D at 10 microM preferentially blocked the secretory effect of carbachol and its synergism with cAMP, whereas it had no effect on histamine- or cAMP-stimulated acid secretion within 15 min.",cytochalasin d,1,1
"Cytochalasin D at 10 microM preferentially blocked the secretory effect of carbachol and its synergism with cAMP, whereas it had no effect on histamine- or cAMP-stimulated acid secretion within 15 min.",carbachol,1,1
"Dose-response curves (derived from the results of using the tablets as well as pure powders) showed that tripelennamine was responsible for the inhibitory activity, which was partially antagonized by pentazocine.",pentazocine,1,1
"Dose-response curves (derived from the results of using the tablets as well as pure powders) showed that tripelennamine was responsible for the inhibitory activity, which was partially antagonized by pentazocine.",tripelennamine,1,1
Exogenous estradiol also appeared to influence the percentage of endotoxin-induced deaths in a dose-dependent manner.,estradiol,1,1
Exogenous estradiol also appeared to influence the percentage of endotoxin-induced deaths in a dose-dependent manner.,endotoxin,0,0
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",(+)-nanm,1,1
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",haloperidol,1,1
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",pcp,1,1
High-dose cisplatin with sodium thiosulfate protection.,sodium thiosulfate,1,1
High-dose cisplatin with sodium thiosulfate protection.,cisplatin,1,1
"Ibogaine attenuates, but 18-MC potentiates, the acute locomotor effects of morphine;",ibogaine,1,1
"Ibogaine attenuates, but 18-MC potentiates, the acute locomotor effects of morphine;",18-mc,1,1
"Ibogaine attenuates, but 18-MC potentiates, the acute locomotor effects of morphine;",morphine,1,1
"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding.",morphine,1,1
"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding.",(-)-nanm,1,1
"In ewes given 40 mg of phenobarbital sodium/kg for 5 days intraperitoneally (IP), the anticholinesterase effect of 4 mg of coumaphos/kg was significantly reduced and signs of toxicity were not present.",coumaphos,1,1
"In ewes given 40 mg of phenobarbital sodium/kg for 5 days intraperitoneally (IP), the anticholinesterase effect of 4 mg of coumaphos/kg was significantly reduced and signs of toxicity were not present.",phenobarbital sodium,1,1
Injection of estradiol 5 min before a nonlethal dose of endotoxin changed the serum sex steroid hormone response of male rats to endotoxin.,estradiol,1,1
Injection of estradiol 5 min before a nonlethal dose of endotoxin changed the serum sex steroid hormone response of male rats to endotoxin.,endotoxin,0,0
It was observed that MPTP induced long lasting depletions of striatal dopamine concentrations and this neurotoxic effect could be prevented by pargyline pretreatment.,pargyline,1,1
It was observed that MPTP induced long lasting depletions of striatal dopamine concentrations and this neurotoxic effect could be prevented by pargyline pretreatment.,mptp,1,1
"Loperamide and morphine (0.1 and 1.0 mg/kg, s.c.) inhibited the dmPGE2 (0.3 mg/kg, p.o.)-induced diarrhea in cecectomized rats.",dmpge2,0,1
"Loperamide and morphine (0.1 and 1.0 mg/kg, s.c.) inhibited the dmPGE2 (0.3 mg/kg, p.o.)-induced diarrhea in cecectomized rats.",loperamide,1,1
"Loperamide and morphine (0.1 and 1.0 mg/kg, s.c.) inhibited the dmPGE2 (0.3 mg/kg, p.o.)-induced diarrhea in cecectomized rats.",morphine,1,1
Misonidazole protects mouse tumour and normal tissues from the toxicity of oral CCNU.,ccnu,1,1
Misonidazole protects mouse tumour and normal tissues from the toxicity of oral CCNU.,misonidazole,1,1
Morphine prolonged gastrointestinal transit time from 69 to 103 minutes (P = .005); this was prevented by ADL 8-2698 (P = .004).,adl 8-2698,1,1
Morphine prolonged gastrointestinal transit time from 69 to 103 minutes (P = .005); this was prevented by ADL 8-2698 (P = .004).,morphine,1,1
"N-methyllevallorphan (5 mg/kg, s.c.) completely antagonized the inhibitory effect of loperamide and partly antagonized the effect of morphine.",loperamide,1,1
"N-methyllevallorphan (5 mg/kg, s.c.) completely antagonized the inhibitory effect of loperamide and partly antagonized the effect of morphine.",n-methyllevallorphan,1,1
"N-methyllevallorphan (5 mg/kg, s.c.) completely antagonized the inhibitory effect of loperamide and partly antagonized the effect of morphine.",morphine,1,1
"Physostigmine pretreatment augmented the depressant effect of alcohol on the early components P1 and N1, while attenuating alcohol's influence on components P2 and P3.",physostigmine,1,1
"Physostigmine pretreatment augmented the depressant effect of alcohol on the early components P1 and N1, while attenuating alcohol's influence on components P2 and P3.",alcohol,0,1
Pretreatment of megakaryocytes with extracellular RR (50 microM) also inhibited InsP(3)-induced responses.,rr,1,1
Pretreatment of megakaryocytes with extracellular RR (50 microM) also inhibited InsP(3)-induced responses.,insp(3),0,1
"Pretreatment of rats with allopurinol (100 mg/kg, ip) or Vitamin E (100 mg/kg per day, ig, for 3 days and a dose of 40 mg/kg on the 4th day) provided significant protection against the elevation of TBARS levels in cerebral and hepatic tissues, induced by single high dose of oral cypermethrin administration within 4 h.",vitamin e,1,1
"Pretreatment of rats with allopurinol (100 mg/kg, ip) or Vitamin E (100 mg/kg per day, ig, for 3 days and a dose of 40 mg/kg on the 4th day) provided significant protection against the elevation of TBARS levels in cerebral and hepatic tissues, induced by single high dose of oral cypermethrin administration within 4 h.",cypermethrin,1,1
"Pretreatment of rats with allopurinol (100 mg/kg, ip) or Vitamin E (100 mg/kg per day, ig, for 3 days and a dose of 40 mg/kg on the 4th day) provided significant protection against the elevation of TBARS levels in cerebral and hepatic tissues, induced by single high dose of oral cypermethrin administration within 4 h.",allopurinol,1,1
"Prior administration of 4-methylpyrazole (90 mg kg(-1) body weight) was shown to prevent the conversion of 1,3-difluoro-2-propanol (100 mg kg(-1) body weight) to (-)-erythro-fluorocitrate in vivo and to eliminate the fluoride and citrate elevations seen in 1,3-difluoro-2-propanol-intoxicated animals.","1,3-difluoro-2-propanol",1,1
"Prior administration of 4-methylpyrazole (90 mg kg(-1) body weight) was shown to prevent the conversion of 1,3-difluoro-2-propanol (100 mg kg(-1) body weight) to (-)-erythro-fluorocitrate in vivo and to eliminate the fluoride and citrate elevations seen in 1,3-difluoro-2-propanol-intoxicated animals.",4-methylpyrazole,1,1
