Sentence,Drug1_Name,Drug2_Name
"ADL 8-2698, a trans-3,4-dimethyl-4-(3-hydroxyphenyl) piperidine, prevents gastrointestinal effects of intravenous morphine without affecting analgesia.",adl 8-2698,morphine
Administering InsP(3) together with RR (100-500 microM) inhibited InsP(3)-induced responses (both Ca(2+) and current responses) in a dose-dependent fashion.,insp(3),rr
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,ibogaine,morphine
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,ibogaine,nicotine
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,18-mc,morphine
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,18-mc,nicotine
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,cypermethrin,vitamin e
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,cypermethrin,allopurinol
"Cytochalasin D at 10 microM preferentially blocked the secretory effect of carbachol and its synergism with cAMP, whereas it had no effect on histamine- or cAMP-stimulated acid secretion within 15 min.",cytochalasin d,carbachol
"Dose-response curves (derived from the results of using the tablets as well as pure powders) showed that tripelennamine was responsible for the inhibitory activity, which was partially antagonized by pentazocine.",tripelennamine,pentazocine
Exogenous estradiol also appeared to influence the percentage of endotoxin-induced deaths in a dose-dependent manner.,estradiol,endotoxin
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",haloperidol,(+)-nanm
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",haloperidol,pcp
High-dose cisplatin with sodium thiosulfate protection.,cisplatin,sodium thiosulfate
