Sentence,Miti_val
"(1968, 1970), the higher serum concentrations of penicillins and cephaloridine reached after administration of probenecid are due not only to slower renal elimination but also to an altered distribution in the body.",0
"ADL 8-2698, a trans-3,4-dimethyl-4-(3-hydroxyphenyl) piperidine, prevents gastrointestinal effects of intravenous morphine without affecting analgesia.",1
ADL-8-2698 is a novel peripherally restricted opioid antagonist that may selectively prevent opioid-induced gastrointestinal effects without reversing analgesia.,0
"Acetaminophen diminished the binding of theophylline to human serum by a net change of 5.7% (percentage increase in free drug fraction [FDF], 11.0%) at 662 micromol/L and by a net change of 7.1% (percentage increase in FDF, 13.7%) at 1324 micromol/L.",0
Acid-catalyzed ethanolysis of temazepam in anhydrous and aqueous ethanol solutions.,0
Additional iron significantly inhibited the absorption of cobalt in both dietary cobalt treatments.,0
Administering InsP(3) together with RR (100-500 microM) inhibited InsP(3)-induced responses (both Ca(2+) and current responses) in a dose-dependent fashion.,1
"Although neither dexamethasone nor retinyl acetate affected the proliferation of prostatic epithelium in RPMI1640 containing transferrin alone, they modify the mitogenic effect of EGF and insulin.",0
"Although this effect was noted even when cholestyramine was given 4 hours prior to fluvastatin, this regimen did not result in diminished efficacy.",0
Amiodarone is known to raise serum digoxin levels.,0
"Among the risk factors studied, two appear to increase the risk of ARE: the prescription of thiabendazole to treat strongyloidiasis during the melarsoprol cure and the bad general clinical conditions of patients.",0
"Amprenavir plus rifabutin was poorly tolerated, and 5 of 11 subjects discontinued therapy.",0
"Amprenavir significantly decreases clearance of rifabutin and 25-O-desacetylrifabutin, and the combination is poorly tolerated.",0
Amprenavir significantly increased the area under the curve at steady state (AUC(ss)) of rifabutin by 2.93-fold and the AUC(ss) of 25-O-desacetylrifabutin by 13.3-fold.,0
"An intravenous injection of perchlorate given later also produces a complete and immediately beginning depletion of pertechnetate already accumulated in the thyroid, within a period of 195 min after 99m-TcO-4-injection with a corresponding increase in blood levels.",0
"Aortic rings with intact endothelium from the high-dose (4 mg/kg/day) estradiol group were supersensitive to noradrenaline compared to the vehicle or low-dose (10 microg/kg/day) estradiol groups (pD2 values = 7.86+/-0.09, 7.30+/-0.11 and 7.35+/-0.04, respectively).",0
"Apparent oral clearance and volume of distribution of sirolimus decreased with 38% and 45%, respectively, when sirolimus was given with diltiazem.",0
"At 75% recovery of fade, hoof twitch was 87 +/- 3% for atracurium alone and 82 +/- 4% for atracurium plus gentamycin.",0
"Azithromycin had no significant impact on the Cmax and AUC of zidovudine, although it significantly decreased the zidovudine tmax by 44% and increased the intracellular exposure to phosphorylated zidovudine by 110%.",0
Barbiturates and glutethimide should not be administered to patients receiving coumarin drugs.,0
"Because of the pronounced intersubject variability in the extent of the sirolimus-diltiazem interaction, whole blood sirolimus concentrations should be monitored closely in patients treated with the two drugs.",0
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;,1
Buforin II may be active in inhibiting Cryptosporidium parvum growth in vitro upon combination with either azithromycin or minocycline.,0
"CONCLUSIONS: Macrolide antibiotics inhibit the metabolism of HMG-CoA reductase inhibitors that are metabolized by CYP3A4 (i.e., atorvastatin, cerivastatin, lovastatin, simvastatin).",0
"CONCLUSIONS: Single-dose diltiazem coadministration leads to higher sirolimus exposure, presumably by inhibition of the first-pass metabolism of sirolimus.",0
Careful observations on hepatotoxicity are suggested when acetaminophen is prescribed with caffeine.,0
"Chloral hydrate and methaqualone interact pharmacologically with orally administered anticoagulant agents, but the effect is not clinically significant.",0
"Cholestyramine, an anionic-binding resin, has a considerable effect in lowering the rate and extent of fluvastatin bioavailability.",0
Clinical implications of warfarin interactions with five sedatives.,0
Coadministration of fluoxetine significantly decreased cisapride plasma concentrations.,0
"Coingestion of acetaminophen with theophylline, phenobarbital with acetaminophen, and valproic acid with phenobarbital at high to toxic concentrations decreases the binding of the target drug.",0
Combinations of clindamycin and gentamicin were indifferent for 16 and synergistic for 11 of the resistant strains.,0
Combinations of clindamycin and gentamicin were indifferent for 29 strains and synergistic for 33 strains.,0
"Combined treatment with 1,25(OH)2D3 and TAM enhances the degree of apoptosis assessed using morphological markers that identify chromatin and nuclear matrix protein condensation.",0
"Concurrent administration of indinavir and didanosine significantly reduces the level of exposure to indinavir, but it is unclear how soon after didanosine administration indinavir may be given safely.",0
"Consequently, the effect of iron on the retention of cobalt was lower than on absorption.",0
Core temperature was decreased in rats in a dose-dependent manner when ethanol was administered to rats treated with disulfiram 8 hours before the ethanol challenge.,0
Cypermethrin-induced oxidative stress in rat brain and liver is prevented by vitamin E or allopurinol.,1
"Cytochalasin D at 10 microM preferentially blocked the secretory effect of carbachol and its synergism with cAMP, whereas it had no effect on histamine- or cAMP-stimulated acid secretion within 15 min.",1
Cytochalasin D inhibited the carbachol-stimulated intracellular Ca(2+) concentration ([Ca(2+)](i)) increase due to release from the Ca(2+) store.,0
"DISCUSSION: Clarithromycin is a potent inhibitor of CYP3A4, the major enzyme responsible for simvastatin metabolism.",0
Dexamethasone and retinyl acetate similarly inhibit and stimulate EGF- or insulin-induced proliferation of prostatic epithelium.,0
Dexamethasone at 10(-10) M or retinyl acetate at about 3 X 10(-9) M inhibits proliferation stimulated by EGF.,0
Diazepam at doses of 0.25 mg/kg and 2.5 mg/kg injected with morphine was found to decrease the antinociceptive effect of morphine.,0
"Dose-response curves (derived from the results of using the tablets as well as pure powders) showed that tripelennamine was responsible for the inhibitory activity, which was partially antagonized by pentazocine.",1
"Due to its nephrotoxicity, gentamicin may cause abnormal renal uptake to be seen on 99mTc-MDP bone scintigraphy.",0
"During amiodarone administration, systemic clearance of digoxin was reduced from 234 +/- 72 ml/min (mean +/- standard deviation) to 172 +/- 33 ml/min (p less than 0.01).",0
"Echistatin alone had no effect on tyrosine phosphorylation in T24 cells, but dose-dependently inhibits the effects of contortrostatin when both are added simultaneously.",0
"Endothelium-intact aortic rings from high-estradiol rats were supersensitive to noradrenaline when compared to vehicle-, progesterone- and progesterone + high-estradiol-treated rats (pD2 values = 7.77+/-0.12, 7.21+/-0.13, 6.93+/-0.04 and 7.22+/-0.18, respectively).",0
Enhanced theophylline clearance secondary to phenytoin therapy.,0
Etofibrate elicited 62% enhancement of post-heparin lipolytic activity and 100% increase of 3H-triglyceride fractional clearance rate compared with placebo treatment.,0
Exogenous estradiol also appeared to influence the percentage of endotoxin-induced deaths in a dose-dependent manner.,1
Exposure of the muscle to ouabain (10(-5) M) markedly increased the PTX-induced release.,0
"Flavoridin alone was found to have no effect on CAS, but can completely block contortrostatin-induced phosphorylation of this protein in MDA-MB-435 cells.",0
Fluvoxamine inhibits the CYP2C9 catalyzed biotransformation of tolbutamide.,0
"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM.",2
High-dose cisplatin with sodium thiosulfate protection.,1
Higher concentrations of dexamethasone (10(-8) - 10(-6) M) or retinyl acetate (3 X 10(-8) - 10(-7) M) enhance the mitogenic activity of EGF.,0
"However, careful attention must be directed to cross toxicity and possible pharmacokinetic interactions between antiretroviral and antineoplastic drugs.",0
"However, halothane anesthetic requirement (i.e., MAC) was depressed in a dose-dependent fashion as much as 56% 1-2 hours and as much as 14% 5-6 hours after injection of ketamine, 50 mg/kg, im.",0
"However, retinyl acetate stimulated, but did not significantly inhibit, proliferation in the presence of insulin.",0
"However, the antagonism of the theophylline-induced anxiogenic effects by CGS21680 was only observed in the time spent in the light zone, and DPCPX-induced anxiogenic effects were neither reversed by CGS 21680 nor by CPA.",0
"Ibogaine attenuates, but 18-MC potentiates, the acute locomotor effects of morphine;",1
"In a comparison of digitalis tolerance in dogs anesthetized with ketamine, Innovar Vet, or pentobarbital, the dosage of ouabain needed to cause ventricular tachycardia was significantly higher, as was the LD50 of ouabain, with ketamine or Innovar than with pentobarbital.",0
"In addition to this pharmacological interaction, this report describes a novel chemical reaction between temazepam (a benzodiazepine) and ethanol under acidic conditions similar to those found in vivo, resulting in a 3-ethoxylated product.",0
"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding.",1
